Population,Container,Sex,Habitat,Treatment,Egg
1,1,Female,A,Cont,6
1,1,Female,A,Exp,3
1,1,Female,A,Cont,10
1,1,Female,A,Exp,11
1,1,Female,B,Cont,8
1,1,Female,B,Exp,11
1,1,Female,B,Cont,8
1,1,Female,B,Exp,9
1,3,Female,A,Cont,10
1,3,Female,A,Exp,7
1,3,Female,A,Cont,4
1,3,Female,A,Exp,13
1,3,Female,B,Cont,4
1,3,Female,B,Exp,5
1,3,Female,B,Cont,4
1,3,Female,B,Exp,10
1,5,Female,A,Cont,3
1,5,Female,A,Exp,8
1,5,Female,A,Cont,5
1,5,Female,A,Exp,8
1,5,Female,B,Cont,16
1,5,Female,B,Exp,26
1,5,Female,B,Cont,1
1,5,Female,B,Exp,12
1,7,Female,A,Cont,10
1,7,Female,A,Exp,6
1,7,Female,A,Cont,7
1,7,Female,A,Exp,12
1,7,Female,B,Cont,2
1,7,Female,B,Exp,3
1,7,Female,B,Cont,7
1,7,Female,B,Exp,9
1,9,Female,A,Cont,0
1,9,Female,A,Exp,6
1,9,Female,A,Cont,4
1,9,Female,A,Exp,2
1,9,Female,B,Cont,3
1,9,Female,B,Exp,12
1,9,Female,B,Cont,7
1,9,Female,B,Exp,11
2,11,Female,A,Cont,1
2,11,Female,A,Exp,10
2,11,Female,A,Cont,6
2,11,Female,A,Exp,3
2,11,Female,B,Cont,3
2,11,Female,B,Exp,7
2,11,Female,B,Cont,1
2,11,Female,B,Exp,4
2,13,Female,A,Cont,4
2,13,Female,A,Exp,2
2,13,Female,A,Cont,8
2,13,Female,A,Exp,16
2,13,Female,B,Cont,7
2,13,Female,B,Exp,5
2,13,Female,B,Cont,6
2,13,Female,B,Exp,15
2,15,Female,A,Cont,3
2,15,Female,A,Exp,9
2,15,Female,A,Cont,3
2,15,Female,A,Exp,8
2,15,Female,B,Cont,7
2,15,Female,B,Exp,7
2,15,Female,B,Cont,4
2,15,Female,B,Exp,11
2,17,Female,A,Cont,2
2,17,Female,A,Exp,11
2,17,Female,A,Cont,1
2,17,Female,A,Exp,2
2,17,Female,B,Cont,2
2,17,Female,B,Exp,7
2,17,Female,B,Cont,2
2,17,Female,B,Exp,7
2,19,Female,A,Cont,5
2,19,Female,A,Exp,4
